="É^ÉCÉgÉãÅFéËîzïKóvêîàÍóó"

="É_ÉEÉìÉçÅ[Éhì˙éûÅF2024/02/29 17:50:56"

="ëŒè€îNåéÅFÅÉ2023îN11åéÅÑÅGíSìñçHèÍÅFÅÉëÊÇPÅÑÅGåvéZãÊï™ÅFÅÉ 6éüïœçX 2023/11/21 18:18:54ÅÑÅGéËîzãÊï™ÅFÅÉédì¸êÊéËîzÅFéwíËÇ†ÇËÅGédì¸êÊíºëóÅFéwíËÇ†ÇËÅGédì¸êÊéxããÅFéwíËÇ»ÇµÅGëºçHèÍéËîzÅFéwíËÇ»ÇµÅGéÛããéËîzÅFéwíËÇ»ÇµÅGÅÑ;êÆîıé∫å¿íËÅFÅÉ1YÅFëÊÇPçHèÍÅÑÅGïiî‘éwíËÅFÅÉÅÑÅGédì¸êÊéwíËÅFÅÉÅÑÅGédì¸êÊçHèÍãÊï™ÅFÅÉÅÑÅGç∑ï™ï\é¶éwé¶ÅFÅÉñ≥ÇµÅÑÅG"

="åüçıåèêîÅFÅÉ  382ÅÑÅG"
="IX000 èàóùÇ™ê≥èÌÇ…äÆóπÇµÇ‹ÇµÇΩÅG"

="ïiî‘",="â¡çHê}ïÑçÜ",="ê›ïœïÑçÜ",="ïiñº",="ÉXÉeÅ[É^ÉX",="î≠íçãÊï™",="êÆîıé∫",="êÆîıé∫ñº",="éËîzãÊï™",="çHíˆì‡äOêª",="çHíˆÉRÅ[Éh",="édì¸êÊñº/çHèÍñº",="î≠ëóèÍèä",="î≠ëóèÍèäñº",="éÛãããÊï™",="å„çHíˆì‡äOêª",="å„çHíˆÉRÅ[Éh",="å„çHíˆédì¸êÊñº/çHèÍñº",="éÛì¸èÍèä",="éÛì¸èÍèäñº",="î†éÌóﬁ","é˚óeêî","äÓèÄç›å…ì˙êî","äÓèÄç›å…ñáêî","ÉTÉCÉNÉãä‘äu",="ÉTÉCÉNÉãâÒêî","ÉTÉCÉNÉãèÓïÒ",="çXêV",="çXêVé“",="ç≈èIçXêVì˙éû",="É}ÉCÉiÉXïKóvêîóLñ≥","ìñåéïKóvêî",="ìñåéâ“ì≠ì˙êî","óÇåéïKóvêî",="óÇåéâ“ì≠ì˙êî","óÇÅXåéïKóvêî",="óÇÅXåéâ“ì≠ì˙êî","óÇÅXÅXåéïKóvêî",="óÇÅXÅXåéâ“ì≠ì˙êî","1(êÖ)","2(ñÿ)","3(ã‡)","4(ìy)","5(ì˙)","6(åé)","7(âŒ)","8(êÖ)","9(ñÿ)","10(ã‡)","11(ìy)","12(ì˙)","13(åé)","14(âŒ)","15(êÖ)","16(ñÿ)","17(ã‡)","18(ìy)","19(ì˙)","20(åé)","21(âŒ)","22(êÖ)","23(ñÿ)","24(ã‡)","25(ìy)","26(ì˙)","27(åé)","28(âŒ)","29(êÖ)","30(ñÿ)",,"ìñåéåvéZêî","óÇåéåvéZêî","óÇÅXåéåvéZêî","óÇÅXÅXåéåvéZêî","1(êÖ)","2(ñÿ)","3(ã‡)","4(ìy)","5(ì˙)","6(åé)","7(âŒ)","8(êÖ)","9(ñÿ)","10(ã‡)","11(ìy)","12(ì˙)","13(åé)","14(âŒ)","15(êÖ)","16(ñÿ)","17(ã‡)","18(ìy)","19(ì˙)","20(åé)","21(âŒ)","22(êÖ)","23(ñÿ)","24(ã‡)","25(ìy)","26(ì˙)","27(åé)","28(âŒ)","29(êÖ)","30(ñÿ)",
="90331-06A003",="",=" B","PLUG, TIGHT",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2020",="ÉTÉgÅ[ÉvÉåÉXçHã∆ÅiäîÅj",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="AW-131 æ›÷≥","    5,000","  0.67"," 3.0","1",="01","  1.78",="",="",="",="","     10,736",="22.0","      8,406",="20.0","      7,089",="18.0","      8,341",="21.0","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",,"     10,736","      8,406","      7,089","      8,341","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",
="90339-04A002",="",=" A",="CAP",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2020",="ÉTÉgÅ[ÉvÉåÉXçHã∆ÅiäîÅj",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="AW-131 æ›÷≥","    1,000","  0.65"," 1.0","1",="01","  1.78",="",="",="",="","     19,009",="22.0","     15,700",="20.0","     13,275",="18.0","     16,104",="21.0","        842","        899","        900","          0","          0","        899","        899","        844","        900","        899","          0","          0","        900","        900","        900","        901","        842","          0","          0","        899","        901","        843","        961","        899","          0","          0","        745","        745","        746","        745",,"     19,009","     15,700","     13,275","     16,104","        842","        899","        900","          0","          0","        899","        899","        844","        900","        899","          0","          0","        900","        900","        900","        901","        842","          0","          0","        899","        901","        843","        961","        899","          0","          0","        745","        745","        746","        745",
="90339-04A003",="",=" A",="CAP",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2020",="ÉTÉgÅ[ÉvÉåÉXçHã∆ÅiäîÅj",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="AW-131 æ›÷≥","    2,000","  0.64"," 3.0","1",="01","  1.78",="",="",="",="","     16,546",="22.0","     14,588",="20.0","     12,372",="18.0","     15,526",="21.0","        768","        792","        806","          0","          0","        768","        756","        722","        756","        768","          0","          0","        806","        792","        806","        794","        768","          0","          0","        778","        800","        784","        862","        826","          0","          0","        588","        590","        614","        602",,"     16,546","     14,588","     12,372","     15,526","        768","        792","        806","          0","          0","        768","        756","        722","        756","        768","          0","          0","        806","        792","        806","        794","        768","          0","          0","        778","        800","        784","        862","        826","          0","          0","        588","        590","        614","        602",
="35145-ECB010",="",=" A","PLATE, OIL",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2036",="éOã§ç|ã∆ÅiäîÅj",="01",="ìåâYìÏçHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="AW-131 æ›÷≥","      100","  0.62"," 3.0","1",="01","  1.74",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
="35145-ECE010",="",=" A","PLATE, OIL",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2036",="éOã§ç|ã∆ÅiäîÅj",="01",="ìåâYìÏçHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="AW-131 æ›÷≥","      100","  0.65"," 1.0","1",="01","  1.74",="",="",="",="","     10,736",="22.0","      8,406",="20.0","      7,089",="18.0","      8,341",="21.0","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",,"     10,736","      8,406","      7,089","      8,341","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",
="35195-ECE010",="",="","CLAMP, TUBE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2036",="éOã§ç|ã∆ÅiäîÅj",="01",="ìåâYìÏçHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      400","  0.66"," 3.0","1",="01","  1.74",="",="",="",="","     21,472",="22.0","     16,812",="20.0","     14,178",="18.0","     16,682",="21.0","        916","      1,006","        994","          0","          0","      1,030","      1,042","        966","      1,044","      1,030","          0","          0","        994","      1,008","        994","      1,008","        916","          0","          0","      1,020","      1,002","        902","      1,060","        972","          0","          0","        902","        900","        878","        888",,"     21,472","     16,812","     14,178","     16,682","        916","      1,006","        994","          0","          0","      1,030","      1,042","        966","      1,044","      1,030","          0","          0","        994","      1,008","        994","      1,008","        916","          0","          0","      1,020","      1,002","        902","      1,060","        972","          0","          0","        902","        900","        878","        888",
="35195-TFG010",="",=" A","CLAMP, TRANSAXLE APPLY TUBE, NO.1",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2036",="éOã§ç|ã∆ÅiäîÅj",="01",="ìåâYìÏçHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      400","  0.62"," 1.0","1",="01","  1.74",="",="",="",="","     21,472",="22.0","     16,812",="20.0","     14,178",="18.0","     16,682",="21.0","        916","      1,006","        994","          0","          0","      1,030","      1,042","        966","      1,044","      1,030","          0","          0","        994","      1,008","        994","      1,008","        916","          0","          0","      1,020","      1,002","        902","      1,060","        972","          0","          0","        902","        900","        878","        888",,"     21,472","     16,812","     14,178","     16,682","        916","      1,006","        994","          0","          0","      1,030","      1,042","        966","      1,044","      1,030","          0","          0","        994","      1,008","        994","      1,008","        916","          0","          0","      1,020","      1,002","        902","      1,060","        972","          0","          0","        902","        900","        878","        888",
="35771-ECB010",="",=" C","SHAFT, OUTPUT",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2038",="ÉAÉCÉVÉìã@çHÅiäîÅj",="06",="ãgó«çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-341  ›÷≥","        4","  0.79"," 3.0","1",="06","  4.92",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
="35771-ECE010",="",=" D","SHAFT, OUTPUT",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2038",="ÉAÉCÉVÉìã@çHÅiäîÅj",="06",="ãgó«çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-341  ›÷≥","        6","  0.79"," 2.0","1",="06","  4.92",="",="",="",="","     10,736",="22.0","      8,406",="20.0","      7,089",="18.0","      8,341",="21.0","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",,"     10,736","      8,406","      7,089","      8,341","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",
="35141-ECB010",="",=" D","CASE, TRANSAXLE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2041",="ÅiäîÅjÉAÉCÉVÉìïüà‰",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="A ﬂ⁄  ›÷≥","       16","  0.71"," 3.0","1",="24"," 18.00",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
="35141-ECE010",="",=" B","CASE, TRANSAXLE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2041",="ÅiäîÅjÉAÉCÉVÉìïüà‰",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="A ﬂ⁄  ›÷≥","       20","  0.72"," 3.0","1",="24"," 18.00",="",="",="",="","     10,736",="22.0","      8,406",="20.0","      7,089",="18.0","      8,341",="21.0","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",,"     10,736","      8,406","      7,089","      8,341","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",
="39171-ECB010",="",=" B","COVER, MOTOR HOUSING",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2041",="ÅiäîÅjÉAÉCÉVÉìïüà‰",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="A ﬂ⁄  ›÷≥","       16","  0.71"," 3.0","1",="24"," 18.00",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
="39171-ECE010",="",=" A","COVER, MOTOR HOUSING",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2041",="ÅiäîÅjÉAÉCÉVÉìïüà‰",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="A ﬂ⁄  ›÷≥","       20","  0.72"," 3.0","1",="24"," 18.00",="",="",="",="","     10,736",="22.0","      8,406",="20.0","      7,089",="18.0","      8,341",="21.0","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",,"     10,736","      8,406","      7,089","      8,341","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",
="01912-ECB060",="",="","CAP, SHIPPING",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2242",="êVåıÉSÉÄçHã∆ÅiäîÅj",="01",="ñ{é–",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","      400","  0.78"," 1.0","1",="01","  3.25",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
="2030 052 002N",="",=" A","PLUG, W/HEAD STRAIGHT SCREW",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2408",="ÅiäîÅjêôâYêªçÏèä",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","      300","  0.54"," 3.0","1",="02","  1.06",="",="",="",="","     19,009",="22.0","     15,700",="20.0","     13,275",="18.0","     16,104",="21.0","        842","        899","        900","          0","          0","        899","        899","        844","        900","        899","          0","          0","        900","        900","        900","        901","        842","          0","          0","        899","        901","        843","        961","        899","          0","          0","        745","        745","        746","        745",,"     19,009","     15,700","     13,275","     16,104","        842","        899","        900","          0","          0","        899","        899","        844","        900","        899","          0","          0","        900","        900","        900","        901","        842","          0","          0","        899","        901","        843","        961","        899","          0","          0","        745","        745","        746","        745",
="90116-06048",="",=" G","BOLT, STUD",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2408",="ÅiäîÅjêôâYêªçÏèä",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","    3,000","  0.61"," 1.0","1",="02","  1.06",="",="",="",="","     18,237",="26.0","     15,442",="20.0","     12,668",="18.0","     15,540",="21.0","        712","        769","        677","        684","          0","        781","        701","        743","        795","        695","        684","          0","        769","        690","        769","        777","        626","        684","          0","        794","        693","        718","        728","        672","        684","          0","        634","        540","        604","        614",,"     18,237","     15,442","     12,668","     15,540","        712","        769","        677","        684","          0","        781","        701","        743","        795","        695","        684","          0","        769","        690","        769","        777","        626","        684","          0","        794","        693","        718","        728","        672","        684","          0","        634","        540","        604","        614",
="90341-08A006",="",="","PLUG, W/HEAD STRAIGHT SCREW",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2408",="ÅiäîÅjêôâYêªçÏèä",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","    1,000","  0.53"," 3.0","1",="02","  1.06",="",="",="",="","     84,309",="22.0","     70,094",="20.0","     59,286",="18.0","     72,179",="21.0","      3,752","      3,992","      4,003","          0","          0","      3,980","      3,974","      3,737","      3,978","      3,980","          0","          0","      4,003","      3,996","      4,003","      4,001","      3,752","          0","          0","      3,985","      4,004","      3,764","      4,275","      4,009","          0","          0","      3,274","      3,275","      3,291","      3,281",,"     84,309","     70,094","     59,286","     72,179","      3,752","      3,992","      4,003","          0","          0","      3,980","      3,974","      3,737","      3,978","      3,980","          0","          0","      4,003","      3,996","      4,003","      4,001","      3,752","          0","          0","      3,985","      4,004","      3,764","      4,275","      4,009","          0","          0","      3,274","      3,275","      3,291","      3,281",
="90341-08A010",="",="","PLUG, W/HEAD STRAIGHT SCREW",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2408",="ÅiäîÅjêôâYêªçÏèä",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","    1,000","  0.47"," 1.0","1",="02","  1.06",="",="",="",="","     16,546",="22.0","     14,588",="20.0","     12,372",="18.0","     15,526",="21.0","        768","        792","        806","          0","          0","        768","        756","        722","        756","        768","          0","          0","        806","        792","        806","        794","        768","          0","          0","        778","        800","        784","        862","        826","          0","          0","        588","        590","        614","        602",,"     16,546","     14,588","     12,372","     15,526","        768","        792","        806","          0","          0","        768","        756","        722","        756","        768","          0","          0","        806","        792","        806","        794","        768","          0","          0","        778","        800","        784","        862","        826","          0","          0","        588","        590","        614","        602",
="90341-18090",="",="","PLUG, W/HEAD STRAIGHT SCREW",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2408",="ÅiäîÅjêôâYêªçÏèä",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","      300","  0.58"," 3.0","1",="02","  1.06",="",="",="",="","     19,009",="22.0","     15,700",="20.0","     13,275",="18.0","     16,104",="21.0","        842","        899","        900","          0","          0","        899","        899","        844","        900","        899","          0","          0","        900","        900","        900","        901","        842","          0","          0","        899","        901","        843","        961","        899","          0","          0","        745","        745","        746","        745",,"     19,009","     15,700","     13,275","     16,104","        842","        899","        900","          0","          0","        899","        899","        844","        900","        899","          0","          0","        900","        900","        900","        901","        842","          0","          0","        899","        901","        843","        961","        899","          0","          0","        745","        745","        746","        745",
="35598-50A010",="",=" A","PIN SUB-ASSY, PARKING LOCK",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2411",="ÉAÉCÉRÅ[ÅiäîÅj",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="AW-131 æ›÷≥","      100","  0.94"," 1.0","1",="02","  3.92",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
="90341-18060",="",=" C","PLUG, W/HEAD STRAIGHT SCREW",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2502",="èZóFè§éñÅiäîÅjìSç|ïîóAëóã@çﬁ",="01",="ìSç|ïîóAëóã@çﬁ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","      300","  0.74"," 1.0","1",="01","  3.00",="*",="ì°à‰Å@êDâ‘",="2023-11-21 12:15:49",="","     12,663",="26.0","     10,510",="20.0","      8,717",="18.0","     10,495",="21.0","        501","        546","        497","        342","          0","        558","        521","        526","        565","        515","        342","          0","        540","        504","        540","        547","        458","        342","          0","        553","        501","        494","        530","        486","        342","          0","        494","        450","        482","        487",,"     12,663","     10,510","      8,717","     10,495","        501","        546","        497","        342","          0","        558","        521","        526","        565","        515","        342","          0","        540","        504","        540","        547","        458","        342","          0","        553","        501","        494","        530","        486","        342","          0","        494","        450","        482","        487",
="G1174-ECB010",="",=" A","WIRE, MOTOR REVOLUTION SENSOR",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2506",="èZóFìdëïÅiäîÅj",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="OM5","       70","  0.89"," 1.0","1",="01","  2.28",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
="G1174-ECE010",="",=" A","WIRE, MOTOR REVOLUTION SENSOR",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2506",="èZóFìdëïÅiäîÅj",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="OM5","       72","  0.91"," 1.0","1",="01","  2.28",="",="",="",="","     10,736",="22.0","      8,406",="20.0","      7,089",="18.0","      8,341",="21.0","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",,"     10,736","      8,406","      7,089","      8,341","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",
="82824-ECE010",="",="","CONNECTOR, WIRING HARNESS",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2506",="èZóFìdëïÅiäîÅj",="04",="élì˙ésï®ó¨ÉZÉìÉ^Å[",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-332  ›÷≥","       45","  0.36"," 1.0","1",="01","  3.25",="",="",="",="","     10,736",="22.0","      8,406",="20.0","      7,089",="18.0","      8,341",="21.0","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",,"     10,736","      8,406","      7,089","      8,341","        458","        503","        497","          0","          0","        515","        521","        483","        522","        515","          0","          0","        497","        504","        497","        504","        458","          0","          0","        510","        501","        451","        530","        486","          0","          0","        451","        450","        439","        444",
="G1144-ECB010",="",=" A","TERMINAL, MOTOR CABLE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="2508",="èZóFìdãCçHã∆ÅiäîÅj",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","        6","  0.63"," 2.0","1",="01","  2.28",="",="",="",="","      8,273",="22.0","      7,294",="20.0","      6,186",="18.0","      7,763",="21.0","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",,"      8,273","      7,294","      6,186","      7,763","        384","        396","        403","          0","          0","        384","        378","        361","        378","        384","          0","          0","        403","        396","        403","        397","        384","          0","          0","        389","        400","        392","        431","        413","          0","          0","        294","        295","        307","        301",
